Exports,2020.0,03/12/2020,Thursday,Total (excluding China),All,All,$,117000000.0,40040000000.0
Exports,2020.0,13/10/2020,Tuesday,Australia,All,All,$,23000000.0,6379000000.0
Exports,2018.0,23/04/2018,Monday,East Asia (excluding China),All,All,$,128000000.0,4017000000.0
Exports,2019.0,26/09/2019,Thursday,All,Non-food manufactured goods,All,$,35000000.0,9326000000.0
Exports,2015.0,25/08/2015,Tuesday,Australia,All,All,$,17000000.0,5240000000.0
Imports,2017.0,26/10/2017,Thursday,China,Electrical machinery and equip,All,$,9000000.0,1621000000.0
Imports,2019.0,05/03/2019,Tuesday,All,All,Air,$,49000000.0,2253000000.0
Exports,2015.0,10/03/2015,Tuesday,All,All,Sea,$,109000000.0,8397000000.0
Exports,2020.0,05/10/2020,Monday,All,Meat and edible offal,All,$,16000000.0,6408000000.0
Exports,2017.0,05/07/2017,Wednesday,All,Non-food manufactured goods,All,$,32000000.0,6266000000.0
Exports,2017.0,10/10/2017,Tuesday,European Union (27),All,All,$,6000000.0,2946000000.0
Exports,2020.0,28/01/2020,Tuesday,United Kingdom,All,All,$,15000000.0,101000000.0
Imports,2015.0,25/06/2015,Thursday,China,Mechanical machinery and equip,All,$,7000000.0,772000000.0
Exports,2016.0,25/01/2016,Monday,All,All,All,$,220000000.0,2965000000.0
Exports,2018.0,04/06/2018,Monday,All,All,All,$,234000000.0,24516000000.0
Exports,2015.0,05/09/2015,Saturday,All,Meat and edible offal,All,$,15000000.0,4981000000.0
Exports,2021.0,15/11/2021,Monday,United States,Meat and edible offal,All,$,6000000.0,1679000000.0
Exports,2021.0,21/10/2021,Thursday,China,All,All,$,100000000.0,15375000000.0
Exports,2021.0,02/12/2021,Thursday,All,Meat and edible offal,All,$,24000000.0,7895000000.0
Exports,2017.0,21/02/2017,Tuesday,United Kingdom,All,All,$,1000000.0,191000000.0
Exports,2017.0,23/01/2017,Monday,Australia,All,All,$,29000000.0,464000000.0
Exports,2015.0,25/07/2015,Saturday,All,All,Air,$,14000000.0,2992000000.0
Exports,2016.0,17/11/2016,Thursday,United States,Meat and edible offal,All,$,3000000.0,1388000000.0
Exports,2021.0,20/08/2021,Friday,Japan,All,All,$,6000000.0,2288000000.0
Exports,2019.0,22/08/2019,Thursday,United States,Meat and edible offal,All,$,5000000.0,1111000000.0
Imports,2016.0,29/01/2016,Friday,China,All,All,$,32000000.0,870000000.0
Exports,2015.0,13/06/2015,Saturday,East Asia (excluding China),All,All,$,35000000.0,5358000000.0
Exports,2016.0,15/01/2016,Friday,All,All,Sea,$,115000000.0,1124000000.0
Exports,2020.0,16/07/2020,Thursday,United States,Meat and edible offal,All,$,6000000.0,1187000000.0
Exports,2021.0,01/12/2021,Wednesday,Total (excluding China),All,All,$,176000000.0,39400000000.0
